Date,Close,PE(TTM),PB(MRQ),PS(TTM)
2011/4/28,5.532,-17.08683014,12.7653823,22.58768272
2011/4/29,5.52,-17.04976654,12.74807113,22.53868484
2011/5/2,5.49,-16.95710373,12.67878813,22.41619301
2011/5/3,5.374,-16.5988121,12.41089388,21.94255257
2011/5/4,5.338,-16.48761749,12.32775429,21.79556084
2011/5/5,5.288,-16.33318138,12.21228263,21.59140778
2011/5/6,5.424,-16.75324821,12.52636554,22.14670753
2011/5/9,5.582,-17.24126625,12.89125598,22.79183769
2011/5/10,5.666,-17.50071907,13.08524837,23.13481712
2011/5/11,5.414,-16.72236061,12.50327121,22.10587692
2011/5/12,5.534,-17.09300804,12.78040319,22.59584808
2011/5/13,5.51,-15.16363144,15.7071206,18.17497635
2011/5/16,5.32,-14.64074802,15.16549575,17.54825401
2011/5/17,5.192,-14.28848934,14.80061164,17.12603951
2011/5/18,5.27,-14.50314713,15.0229629,17.38332558
2011/5/19,5.64,-15.52139473,16.07770602,18.60378838
2011/5/20,5.594,-15.39480114,15.9465758,18.45205498
2011/5/23,5.364,-14.76183701,15.29092466,17.69338989
2011/5/24,5.344,-14.70679665,15.23391152,17.62741852
2011/5/25,5.796,-15.95070934,16.52240853,19.11836052
2011/5/26,5.896,-16.22591209,16.80747424,19.44821548
2011/5/27,5.91,-16.26444054,16.84738344,19.4943943
2011/5/31,6.028,-16.58917809,17.18376098,19.88362312
2011/6/1,5.7034,-15.69587231,16.25843768,18.8129158
2011/6/2,5.752,-15.82962036,16.39697962,18.97322464
2011/6/3,6.026,-16.58367348,18.47282374,19.8770256
2011/6/6,5.74,-15.79659653,17.59608501,18.93364143
2011/6/7,5.674,-15.61496258,17.39376069,18.71593857
2011/6/8,5.424,-14.92695808,16.62738068,17.89130211
2011/6/9,5.524,-15.20215988,16.93393269,18.22115707
2011/6/10,5.572,-15.33425713,17.08107765,18.37948608
2011/6/13,5.686,-15.64798737,17.43054693,18.75551987
2011/6/14,5.72,-15.74155617,17.53477461,18.86767197
2011/6/15,5.464,-15.0370388,16.75000148,18.02324295
2011/6/16,5.3,-14.58570766,16.2472562,17.48228264
2011/6/17,5.3,-14.58570766,16.2472562,17.48228264
2011/6/20,5.202,-14.31600952,15.94683523,17.15902519
2011/6/21,5.506,-15.15262318,16.87875332,18.16178322
2011/6/22,5.442,-14.97649384,16.68256004,17.95067596
2011/6/23,5.542,-15.25169659,16.98911205,18.28053093
2011/6/24,5.513,-15.1718874,16.90021197,18.18487167
2011/6/27,5.492,-15.11409569,16.83583604,18.11560249
2011/6/28,5.622,-15.47185802,17.23435365,18.54441452
2011/6/29,5.658,-15.57093048,17.34471237,18.66316223
2011/6/30,5.826,-16.03326988,18.05772222,19.21731758
2011/7/1,5.804,-15.97272587,17.98953309,19.14474869
2011/7/5,5.828,-16.03877449,18.06392123,19.22391319
2011/7/6,5.792,-15.93970108,17.95233901,19.10516548
2011/7/7,5.946,-16.36351204,18.42966294,19.61314201
2011/7/8,5.762,-15.85714054,17.85935383,19.00621033
2011/7/11,5.67,-15.60395527,17.57419928,18.70274353
2011/7/12,5.634,-15.50488186,17.46261706,18.58399582
2011/7/13,5.728,-15.76357174,17.75397063,18.89406013
2011/7/14,5.522,-15.19665623,17.11547238,18.21455956
2011/7/15,5.516,-15.18014336,17.09687535,18.19476891
2011/7/18,5.446,-14.9875021,16.87990992,17.963871
2011/7/19,5.578,-15.35076904,17.28904472,18.39927864
2011/7/20,5.738,-15.79109192,17.78496569,18.92704391
2011/7/21,5.74,-15.79659653,17.7911647,18.93364143
2011/7/22,5.858,-16.12133408,18.15690641,19.32287025
2011/7/25,5.698,-15.6810112,17.66098545,18.79510307
2011/7/26,5.6,-15.41131306,17.35723385,18.47184563
2011/7/27,5.528,-15.21316814,17.13406942,18.2343502
2011/7/28,5.634,-15.50488186,17.46261706,18.58399582
2011/7/29,5.634,-15.50488186,17.46261706,18.58399582
2011/8/1,5.754,-15.83512497,17.84095281,18.97982216
2011/8/2,5.468,-15.04804707,16.95417622,18.03643799
2011/8/3,5.44,-14.97099018,16.86735893,17.94407845
2011/8/4,4.95,-13.62250042,15.34805638,16.32779312
2011/8/5,4.848,-13.34179401,15.0317934,15.99134064
2011/8/8,4.728,-13.01155186,14.65971931,15.59551525
2011/8/9,5.012,-13.79312515,15.54029466,16.53230286
2011/8/10,4.764,-13.11062431,14.77134154,15.71426296
2011/8/11,5.06,-13.9252224,15.6891243,16.69063187
2011/8/12,5.262,-14.09692574,7.853939105,15.66274929
2011/8/15,5.246,-14.05406189,7.830057876,15.61512375
2011/8/16,5.22,-13.98440742,7.791250879,15.53773308
2011/8/17,5.166,-13.83974171,7.710651732,15.37699795
2011/8/18,4.852,-12.99853325,7.241982618,14.44235229
2011/8/19,4.46,-11.9483633,6.656892514,13.27553368
2011/8/22,4.39,-11.76083279,6.552412138,13.06717396
2011/8/23,4.592,-12.30199242,6.853912651,13.66844177
2011/8/24,4.774,-12.78957081,7.125561628,14.21017933
2011/8/25,4.622,-12.38236237,6.898689955,13.75773907
2011/8/26,4.746,-12.71455956,7.083769478,14.12683487
2011/8/29,4.942,-13.23964405,7.37631453,14.71024418
2011/8/30,4.926,-13.1967802,7.352433301,14.66261864
2011/8/31,4.948,-13.25571823,7.385269991,14.72810364
2011/9/1,4.8,-12.85922527,7.164368625,14.28757
2011/9/2,4.614,-12.36093044,6.88674934,13.73392677
2011/9/6,4.588,-12.29127598,6.847942344,13.6565361
2011/9/7,4.768,-12.77349758,7.116606167,14.19231987
2011/9/8,4.722,-12.65026283,7.047947635,14.05539703
2011/9/9,4.594,-12.30735016,6.856897805,13.67439556
2011/9/12,4.576,-12.25912857,6.830031422,13.62081718
2011/9/13,4.816,-12.90208912,7.188249853,14.33519554
2011/9/14,4.868,-13.04139805,7.265863847,14.48997784
2011/9/15,4.964,-13.29858208,7.409151219,14.77572918
2011/9/16,5.16,-13.82366753,7.701696272,15.35913849
2011/9/19,5.154,-13.80759335,7.692740811,15.34127903
2011/9/20,5.202,-13.93618584,7.764384497,15.4841547
2011/9/21,5.17,-13.85045719,7.716622039,15.38890362
2011/9/22,5.126,-13.73258114,7.65094866,15.25793457
2011/9/23,5.276,-14.13443184,7.87483518,15.70442104
2011/9/26,5.104,-13.67364311,7.618111971,15.19244957
2011/9/27,5.238,-14.03262997,7.818117262,15.59131145
2011/9/28,4.918,-13.17534828,7.340492687,14.63880634
2011/9/29,4.824,-12.92352104,7.200190468,14.35900784
2011/9/30,4.878,-13.06818771,7.292727802,14.51974297
2011/10/3,4.746,-12.71455956,7.095384614,14.12683487
2011/10/4,4.732,-12.67705345,7.074454276,14.08516312
2011/10/5,5.074,-13.59327316,7.585752535,15.10315228
2011/10/6,5.392,-14.44519615,8.061170215,16.0497036
2011/10/7,5.398,-14.46127033,8.07014036,16.06756401
2011/10/10,5.576,-14.93813324,8.336254659,16.59739494
2011/10/11,5.522,-14.79346752,8.255523354,16.43665886
2011/10/12,5.56,-14.89526939,8.312334272,16.54976845
2011/10/13,5.588,-14.9702816,8.354194948,16.63311386
2011/10/14,5.61,-15.02921963,8.38708548,16.69859695
2011/10/17,5.484,-14.6916647,8.198712437,16.32354927
2011/10/18,5.668,-15.18460178,8.47379688,16.87123871
2011/10/19,5.514,-14.7720356,8.243563161,16.41284561
2011/10/20,5.468,-14.64880085,8.17479205,16.27592468
2011/10/21,5.606,-15.01850319,8.381105383,16.68669128
2011/10/24,5.71,-15.29712009,8.536587895,16.99625587
2011/10/25,5.65,-15.1363802,8.446886446,16.81766129
2011/10/26,5.596,-14.99171352,8.366155142,16.6569252
2011/10/27,5.752,-15.4096384,8.599378909,17.12127113
2011/10/28,5.974,-16.00437737,8.93127427,17.78207207
2011/10/31,5.874,-15.7364769,8.791026829,17.48441505
2011/11/1,5.776,-15.47393417,8.644360055,17.19270897
2011/11/2,5.742,-15.38284874,8.593475664,17.09150505
2011/11/3,6.492,-17.3921032,9.715925464,19.32393837
2011/11/4,6.462,-17.31173134,9.671027472,19.23464203
2011/11/7,6.254,-16.75449944,9.359734727,18.61551285
2011/11/8,6.368,-17.05990601,9.530347097,18.95484352
2011/11/9,6.176,-16.54553604,9.242999948,18.38334084
2011/11/10,6.266,-16.7866478,9.377693924,18.65123177
2011/11/11,6.728,-18.02434731,10.069123,20.02641106
2011/11/14,6.644,-15.44854927,11.78030798,17.22470284
2011/11/15,6.786,-15.77872562,12.03208458,17.59284019
2011/11/16,6.988,-16.24841309,12.39024566,18.11652946
2011/11/17,6.736,-15.662467,11.94343084,17.46321487
2011/11/18,6.52,-15.16022587,11.56044672,16.90323067
2011/11/21,6.352,-14.76959419,11.26257018,16.46768761
2011/11/22,6.414,-14.91375637,11.37250081,16.62842369
2011/11/23,6.29,-14.62543297,11.15263955,16.30695152
2011/11/25,6.332,-14.72309017,11.22710869,16.41583633
2011/11/28,6.512,-15.14162445,11.54626212,16.88249016
2011/11/29,6.35,-14.76494408,11.25902403,16.46250153
2011/11/30,6.548,-15.22533131,11.61009281,16.97582054
