Date,Close,PE(TTM),PB(MRQ),PS(TTM)
2006/5/14,2.085770047,37.60287476,6.632043463,3.618482313
2006/5/15,2.088542858,37.65286255,6.640860065,3.623292703
2006/5/16,2.001969537,36.09209442,6.365586178,3.473101635
2006/5/17,2.010596061,36.24761581,6.393015604,3.488067293
2006/5/18,1.946513318,35.09231186,6.189254151,3.376893834
2006/5/19,1.987489302,35.83103943,6.319543926,3.447980709
2006/5/20,1.987489302,35.83103943,6.319543926,3.447980709
2006/5/21,1.987489302,35.83103943,6.319543926,3.447980709
2006/5/22,1.95267512,35.20339966,6.208846598,3.38758359
2006/5/23,1.945589047,35.07564926,6.186315284,3.375290371
2006/5/24,1.951442759,35.18118286,6.204928109,3.385445638
2006/5/25,1.98194368,35.73106384,6.301910724,3.438359929
2006/5/26,1.957881843,35.29726791,6.225402216,3.396616433
2006/5/27,1.957881843,35.29726791,6.225402216,3.396616433
2006/5/28,1.957881843,35.29726791,6.225402216,3.396616433
2006/5/29,1.957881843,35.29726791,6.225402216,3.396616433
2006/5/30,1.886127656,34.00366211,5.997248166,3.272134228
2006/5/31,1.84145459,33.19828415,5.855202922,3.194633499
2006/6/1,1.915396216,34.53132629,6.090312291,3.322910567
2006/6/2,1.899683621,34.2480545,6.04035155,3.29565169
2006/6/3,1.899683621,34.2480545,6.04035155,3.29565169
2006/6/4,1.899683621,34.2480545,6.04035155,3.29565169
2006/6/5,1.848540662,33.32603455,5.877734236,3.206926718
2006/6/6,1.840006566,33.17217636,5.850598697,3.192121406
2006/6/7,1.804329732,32.52898407,5.737158426,3.13022772
2006/6/8,1.871955511,33.74816132,5.952185537,3.24754779
2006/6/9,1.825125814,32.90390396,5.803282936,3.166305646
2006/6/10,1.825125814,32.90390396,5.803282936,3.166305646
2006/6/11,1.825125814,32.90390396,5.803282936,3.166305646
2006/6/12,1.756113629,31.65973091,5.583847525,3.046580382
2006/6/13,1.797089614,32.39846039,5.7141373,3.117667258
2006/6/14,1.774907126,31.9985466,5.643604489,3.079184137
2006/6/15,1.829439076,32.98166275,5.816997649,3.173788475
2006/6/16,1.773366676,31.9707756,5.638706377,3.076511698
2006/6/17,1.773366676,31.9707756,5.638706377,3.076511698
2006/6/18,1.773366676,31.9707756,5.638706377,3.076511698
2006/6/19,1.762275432,31.77081871,5.603439972,3.057270138
2006/6/20,1.770593865,31.9207859,5.629889776,3.071701308
2006/6/21,1.782609379,32.1374054,5.668095049,3.092546332
2006/6/22,1.835600878,33.09275055,5.836590097,3.184478231
2006/6/23,1.81249412,32.67617416,5.763118419,3.144391647
2006/6/24,1.81249412,32.67617416,5.763118419,3.144391647
2006/6/25,1.81249412,32.67617416,5.763118419,3.144391647
2006/6/26,1.817423561,32.76504517,5.778792377,3.152943451
2006/6/27,1.769361504,31.89856911,5.625971287,3.069563357
2006/6/28,1.725920799,31.11540604,5.487844532,2.994200579
2006/6/29,1.816807381,32.75393677,5.776833132,3.151874476
2006/6/30,1.764432062,31.8096981,5.610297329,3.061011552
2006/7/1,1.764432062,31.8096981,5.610297329,3.061011552
2006/7/2,1.764432062,31.8096981,5.610297329,3.061011552
2006/7/3,1.78538219,32.18739319,5.67691165,3.097356722
2006/7/4,1.78538219,32.18739319,5.67691165,3.097356722
2006/7/5,1.756175247,31.6608429,5.584043449,3.046687279
2006/7/6,1.718218546,30.97654724,5.463353973,2.980838384
2006/7/7,1.706819212,30.77103806,5.427107945,2.961062336
2006/7/8,1.706819212,30.77103806,5.427107945,2.961062336
2006/7/9,1.706819212,30.77103806,5.427107945,2.961062336
2006/7/10,1.694495607,30.54886436,5.38792305,2.939682825
2006/7/11,1.714521464,30.90989685,5.451598504,2.974424531
2006/7/12,1.631645225,29.41577911,5.188080086,2.830647316
2006/7/13,1.609770827,29.02142143,5.118526897,2.792698683
2006/7/14,1.561092589,28.14383507,4.963746563,2.708249613
2006/7/15,1.561092589,28.14383507,4.963746563,2.708249613
2006/7/16,1.561092589,28.14383507,4.963746563,2.708249613
2006/7/17,1.613467908,29.08807373,5.130282366,2.799112537
2006/7/18,1.629796684,29.38245201,5.182202352,2.82744039
2006/7/19,1.666767497,30.04897308,5.299757036,2.891578924
2006/7/20,1.863945168,33.60375214,5.926715355,3.233651107
2006/7/21,1.87072315,33.72594452,5.948267047,3.245409838
2006/7/22,1.87072315,33.72594452,5.948267047,3.245409838
2006/7/23,1.87072315,33.72594452,5.948267047,3.245409838
2006/7/24,1.892289458,34.11474991,6.016840613,3.282823983
2006/7/25,1.907940436,34.39691162,6.06660543,3.309975963
2006/7/26,1.967771535,35.47556305,6.256848095,3.413773491
2006/7/27,1.9532913,35.21450806,6.210805843,3.388652565
2006/7/28,2.020763034,36.4309082,6.425343143,3.50570539
2006/7/29,2.020763034,36.4309082,6.425343143,3.50570539
2006/7/30,2.020763034,36.4309082,6.425343143,3.50570539
2006/7/31,2.09378039,37.74728775,6.657513645,3.632378996
2006/8/1,2.069749362,37.31404877,6.5811031,3.590688948
2006/8/2,2.099942193,37.85837555,6.677106092,3.643068751
2006/8/3,2.143999078,38.65264511,6.817192092,3.719500505
2006/8/4,2.104255454,37.93613434,6.690820806,3.65055158
2006/8/5,2.104255454,37.93613434,6.690820806,3.65055158
2006/8/6,2.104255454,37.93613434,6.690820806,3.65055158
2006/8/7,2.070673632,37.33071136,6.584041967,3.592292412
2006/8/8,1.995807735,35.98100662,6.345993731,3.46241188
2006/8/9,1.959145012,35.32004166,6.229418668,3.398807833
2006/8/10,1.973933337,35.58665085,6.276440542,3.424463247
2006/8/11,1.960993553,35.35336685,6.235296402,3.40201476
2006/8/12,1.960993553,35.35336685,6.235296402,3.40201476
2006/8/13,1.960993553,35.35336685,6.235296402,3.40201476
2006/8/14,1.969928166,35.51444244,6.263705451,3.417514906
2006/8/15,2.047258784,36.90858078,6.509590667,3.55167134
2006/8/16,2.094396571,37.75839615,6.65947289,3.633447971
2006/8/17,2.082381056,37.54177475,6.621267617,3.612602948
2006/8/18,2.09223994,37.71951675,6.652615533,3.629706557
2006/8/19,2.09223994,37.71951675,6.652615533,3.629706557
2006/8/20,2.09223994,37.71951675,6.652615533,3.629706557
2006/8/21,2.050647775,36.96968079,6.520366513,3.557550706
2006/8/22,2.083305327,37.55844116,6.624206484,3.614206411
2006/8/23,2.073754533,37.38625336,6.593838191,3.59763729
2006/8/24,2.089159039,37.66397095,6.642819309,3.624361679
2006/8/25,2.118119509,38.18608093,6.734903812,3.674603531
2006/8/26,2.118119509,38.18608093,6.734903812,3.674603531
2006/8/27,2.118119509,38.18608093,6.734903812,3.674603531
2006/8/28,2.06358756,37.20296097,6.561510653,3.579999193
2006/8/29,2.048183054,36.92524338,6.512529534,3.553274803
2006/8/30,2.062971379,37.19185257,6.559551408,3.578930217
2006/8/31,2.090391399,37.68618774,6.646737799,3.62649963
2006/9/1,2.106720175,37.98056793,6.698657785,3.654827483
2006/9/2,2.106720175,37.98056793,6.698657785,3.654827483
